name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Thoai Son,2021-12-05,28.3,20,23.7,29.3,20,24,18.8,74.9,0,0,0,,,,,18.4,6.4,1012.2,59,11.8,259.2,22.3,9,,2021-12-05T06:02:58,2021-12-05T17:36:04,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999,remote"
Thoai Son,2021-12-06,29.3,22,25.2,32.7,22,26,21,78.7,0,0,0,,,,,11.2,356.5,1011.5,64.7,11.7,245.5,21.3,9,,2021-12-06T06:03:29,2021-12-06T17:36:23,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-07,29,22,25,31.4,22,25.7,21.6,82.2,0,0,0,,,,,11.2,8.9,1012.1,66.1,11.9,200.2,17.3,7,,2021-12-07T06:04:01,2021-12-07T17:36:43,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999,remote"
Thoai Son,2021-12-08,30,22,25.5,31.3,22,26.1,21.2,78.8,0,0,0,,,,,13,19.3,1012.1,85.6,11.7,250.2,21.6,8,,2021-12-08T06:04:32,2021-12-08T17:37:04,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-09,28.8,23,25.7,32.6,23,27,23.2,86.3,0.1,100,4.17,rain,,,,8.2,24.4,1012.3,82.4,11.2,182.7,15.8,7,,2021-12-09T06:05:04,2021-12-09T17:37:26,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-10,29.3,23,25.3,32,23,26.1,21.5,80.8,6,100,4.17,rain,,,,17.6,22.9,1012,66.7,11.4,225.2,19.4,8,,2021-12-10T06:05:36,2021-12-10T17:37:49,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999,remote"
Thoai Son,2021-12-11,29,21,24.6,32.7,21,25.1,22.2,87.6,0,0,0,,,,,10.3,21.5,1012.3,60,11.3,230.3,19.9,8,,2021-12-11T06:06:07,2021-12-11T17:38:12,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999,remote"
Thoai Son,2021-12-12,30,21,25.6,34.1,21,26.9,22.4,83.5,0,0,0,,,,,11.2,24.5,1011.4,48.6,11.2,239.3,20.5,8,,2021-12-12T06:06:39,2021-12-12T17:38:36,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-13,29.8,23,26.2,31.5,23,27,21.6,77.3,0,0,0,,,,,12.8,10.8,1010.6,48.5,11.7,233.1,19.9,8,,2021-12-13T06:07:11,2021-12-13T17:39:01,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-14,29.8,23,26.1,32.2,23,26.9,21.6,77.5,0,0,0,,,,,13,5.4,1009.6,48.6,11.7,235.3,20.2,9,,2021-12-14T06:07:42,2021-12-14T17:39:26,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-15,30.1,23,26.5,34.1,23,28.1,22.6,79.9,0,0,0,,,,,14.8,8.9,1009,63.5,11.7,227,19.6,8,,2021-12-15T06:08:14,2021-12-15T17:39:52,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-16,30,24,26.8,34.5,24,28.7,23.5,83.1,0.2,100,4.17,rain,,,,18.4,64.8,1009.5,60.1,11.1,218.2,19,8,,2021-12-16T06:08:45,2021-12-16T17:40:19,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-17,31,23,26.6,36.5,23,28.6,24,86.5,5.4,100,4.17,rain,,,,13,69.1,1009.6,65.7,11.7,184.9,16,6,,2021-12-17T06:09:17,2021-12-17T17:40:46,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-18,30,23,26.4,33.3,23,27.5,22.4,80.2,0,0,0,,,,,14.8,12.2,1009.6,64.8,11.5,245.2,21.1,9,,2021-12-18T06:09:48,2021-12-18T17:41:14,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-19,28,23,24.9,29.7,23,25.1,19.7,73.2,0,0,0,,,,,16.6,352.8,1010.3,84.1,11.6,220.9,19.2,8,,2021-12-19T06:10:18,2021-12-19T17:41:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-20,28.3,22,24.5,30,22,24.8,20.4,78.8,0,0,0,,,,,13,355.4,1011.9,72.4,11.7,215,18.6,7,,2021-12-20T06:10:49,2021-12-20T17:42:12,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-21,31,21,25.7,35.5,21,27.1,22.3,82.7,0.1,100,4.17,rain,,,,13,59,1011.8,60.6,10.9,241,20.8,8,,2021-12-21T06:11:19,2021-12-21T17:42:41,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-22,30,23,26.3,35.1,23,27.9,23.7,86.7,0.1,100,4.17,rain,,,,18.4,85.4,1011.3,68.2,11,99.1,8.6,4,,2021-12-22T06:11:49,2021-12-22T17:43:11,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48907099999,VVCT,48912599999"
Thoai Son,2021-12-23,29,24,26.3,32.7,24,27.3,22.8,82.3,3,100,4.17,rain,,,,22.3,80.9,1011,83.3,11.5,162.7,14.1,7,,2021-12-23T06:12:18,2021-12-23T17:43:41,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48907099999,VVCT,48912599999"
